Category,Feature,Number_of_Loci,Percentage_of_Total_SSRs,Denominator
SSR repeat class,Mononucleotide,86213,29.32,"294,013 total SSR loci"
SSR repeat class,Dinucleotide,176260,59.95,"294,013 total SSR loci"
SSR repeat class,Trinucleotide,27446,9.33,"294,013 total SSR loci"
SSR repeat class,Tetranucleotide,3144,1.07,"294,013 total SSR loci"
SSR repeat class,Pentanucleotide,583,0.2,"294,013 total SSR loci"
SSR repeat class,Hexanucleotide,367,0.12,"294,013 total SSR loci"
Genomic location,Genic,27276,9.28,"294,013 total SSR loci"
Genomic location,Intergenic,266737,90.72,"294,013 total SSR loci"
Genic feature,Intronic,24818,8.44,"294,013 total SSR loci"
Genic feature,CDS,2386,0.81,"294,013 total SSR loci"
Genic feature,UTR/non-coding exon,72,0.02,"294,013 total SSR loci"
Primer design,SSR loci with successful primer pairs,227112,77.25,"294,013 total SSR loci"
Primer design,SSR loci without successful primer pairs,66901,22.75,"294,013 total SSR loci"
