Repeat_Class_Family,Number_of_Elements,Length_Occupied_bp,Percentage_of_Genome
Retroelements,4932,17305066,80.48%
SINEs,0,0,0.00%
Penelope,0,0,0.00%
LINEs,199,109104,0.51%
CRE/SLACS,2,1037,0.00%
L2/CR1/Rex,0,0,0.00%
R1/LOA/Jockey,0,0,0.00%
R2/R4/NeSL,0,0,0.00%
RTE/Bov-B,12,10652,0.05%
L1/CIN4,185,97415,0.45%
LTR elements,4733,17195962,79.98%
BEL/Pao,0,0,0.00%
Ty1/Copia,1872,8366235,38.91%
Gypsy/DIRS1,1956,7874016,36.62%
Retroviral,0,0,0.00%
DNA transposons,2184,3806658,17.70%
hobo-Activator,0,0,0.00%
Tc1-IS630-Pogo,0,0,0.00%
En-Spm,0,0,0.00%
MULE-MuDR,0,0,0.00%
PiggyBac,0,0,0.00%
Tourist/Harbinger,0,0,0.00%
Other (Mirage/P-element),0,0,0.00%
Rolling-circles,0,0,0.00%
Unclassified,1037,270030,1.26%
Total interspersed repeats,8153,21381754,99.44%
Small RNA,0,0,0.00%
Satellites,0,0,0.00%
Simple repeats,0,0,0.00%
Low complexity,0,0,0.00%
