TF_Family,Gene_Count,Percentage
ARF,17,1.25
ARR-B,18,1.32
B3,73,5.36
BBR-BPC,5,0.37
BES1,9,0.66
bHLH,130,9.54
bZIP,59,4.33
CAMTA,7,0.51
CO-like,13,0.95
CPP,7,0.51
DBB,22,1.62
Dof,21,1.54
E2F/DP,10,0.73
EIL,3,0.22
FAR1,50,3.67
G2-like,70,5.14
GATA,29,2.13
GeBP,15,1.1
GRAS,15,1.1
GRF,12,0.88
HB-other,24,1.76
HB-PHD,4,0.29
HD-ZIP,110,8.08
HSF,30,2.2
LBD,30,2.2
LFY,2,0.15
MIKC_MADS,32,2.35
M-type_MADS,7,0.51
MYB,89,6.53
MYB_related,91,6.68
NAC,94,6.9
NF-X1,1,0.07
NF-YA,9,0.66
NF-YB,6,0.44
NF-YC,8,0.59
Nin-like,11,0.81
RAV,1,0.07
S1Fa-like,1,0.07
SBP,20,1.47
SRS,7,0.51
STAT,2,0.15
TALE,54,3.96
TCP,8,0.59
Trihelix,27,1.98
VOZ,4,0.29
Whirly,2,0.15
WOX,28,2.06
WRKY,63,4.63
YABBY,11,0.81
ZF-HD,1,0.07
