miRNA_Acc.,Target_Genes,Total_Interactions,Mean_Expectation,Median_Expectation,Minimum_Expectation,Interactions_LE_1,Interactions_LE_2,Interactions_LE_3,Cleavage_Interactions,Translation_Repression_Interactions
aly-miR838-3p,200,543,3.3996316758747698,3.5,1.0,5,43,223,517,26
ath-miR414,200,379,2.8014511873350925,2.5,0.5,18,153,254,361,18
osa-miR414,200,366,2.8128415300546448,2.5,0.0,15,149,244,343,23
ath-miR5015,199,1149,4.054830287206267,4.0,1.5,0,2,115,1137,12
aly-miR3443-3p,198,1785,3.70812324929972,3.5,2.0,0,16,335,1742,43
ppt-miR414,198,340,3.1882352941176473,3.0,0.0,7,58,207,321,19
osa-miR2919,198,213,3.9976525821596245,4.0,2.0,0,1,21,202,11
gma-miR5031,197,259,4.8301158301158305,5.0,2.5,0,0,3,89,170
ath-miR838,196,372,4.05510752688172,4.0,1.5,0,9,77,124,248
mtr-miR2673a,194,663,2.9822775263951735,3.0,0.0,64,187,348,621,42
mtr-miR2673b,194,663,2.9822775263951735,3.0,0.0,64,187,348,621,42
ath-miR5021,192,205,3.6146341463414635,3.5,1.0,1,14,58,175,30
osa-miR1862f,191,289,4.368512110726644,4.5,2.5,0,0,12,281,8
osa-miR1862g,191,289,4.368512110726644,4.5,2.5,0,0,12,281,8
aqc-miR477d,191,205,3.798780487804878,4.0,1.0,1,4,51,167,38
gma-miR1535a,191,197,4.143401015228426,4.0,2.5,0,0,12,177,20
aly-miR834-3p,189,232,3.9224137931034484,4.0,1.5,0,8,46,217,15
ath-miR834,189,232,3.9224137931034484,4.0,1.5,0,8,46,217,15
ath-miR5658,189,206,2.9733009708737863,3.0,0.0,21,48,110,172,34
bra-miR172c-5p,188,206,3.878640776699029,4.0,2.0,0,8,46,178,28
mtr-miR7698-5p,188,196,3.8073979591836733,4.0,1.5,0,5,50,147,49
cpa-miR8135,188,193,4.174870466321243,4.5,2.5,0,0,19,163,30
stu-miR172c-5p,187,193,3.8860103626943006,4.0,1.0,1,4,24,157,36
ppt-miR1027a,186,210,3.875,4.0,1.0,1,2,46,182,28
ppt-miR1027b,186,210,3.875,4.0,1.0,1,2,46,182,28
aly-miR837-5p,186,201,3.72636815920398,4.0,1.5,0,5,60,187,14
aly-miR169n-3p,186,192,4.075520833333333,4.0,2.0,0,2,15,179,13
ath-miR865-3p,185,209,3.7954545454545454,4.0,1.0,2,5,48,166,43
osa-miR2931,184,195,4.058974358974359,4.0,2.0,0,1,24,176,19
aly-miR3437-3p,183,195,4.312820512820513,4.5,1.5,0,2,11,177,18
gma-miR172b-5p,183,194,4.020618556701031,4.0,1.5,0,1,21,166,28
gra-miR8668,183,187,4.225935828877005,4.5,2.0,0,1,16,157,30
bdi-miR9494,182,216,4.05787037037037,4.0,1.5,0,4,29,194,22
gra-miR172b,182,193,4.010362694300518,4.0,1.5,0,2,26,167,26
sbi-miR5565e,182,185,4.302702702702702,4.5,2.0,0,1,4,161,24
osa-miR5161,181,188,4.204787234042553,4.5,2.5,0,0,14,161,27
gma-miR1512a-3p,181,186,4.123655913978495,4.0,2.5,0,0,18,141,45
ath-miR837-5p,180,196,3.9056122448979593,4.0,0.5,3,4,28,184,12
zma-miR482-3p,180,195,4.021794871794872,4.0,2.0,0,3,19,178,17
bra-miR9559-5p,180,190,3.918421052631579,4.0,1.5,0,6,31,160,30
sly-miR9470-3p,180,188,4.202127659574468,4.25,2.5,0,0,15,151,37
stu-miR8041a-5p,180,185,3.983783783783784,4.0,2.0,0,2,21,151,34
stu-miR8041b-5p,180,185,3.983783783783784,4.0,2.0,0,2,21,151,34
gma-miR9752,179,313,4.087859424920127,4.0,2.0,0,4,40,300,13
zma-miR399e-5p,179,189,3.9404761904761907,4.0,2.0,0,2,31,178,11
ptc-miR6462e,179,187,4.393048128342246,4.5,2.5,0,0,4,172,15
ptc-miR6462f,179,187,4.393048128342246,4.5,2.5,0,0,4,172,15
tae-miR9675-3p,178,193,4.314766839378239,4.5,2.0,0,3,16,148,45
mtr-miR2635,178,191,4.285340314136126,4.5,2.5,0,0,12,152,39
osa-miR2868,178,183,4.136612021857924,4.0,2.5,0,0,17,149,34
lja-miR7535,178,181,4.345303867403315,4.5,2.5,0,0,12,149,32
vvi-miR396b,177,188,4.023936170212766,4.0,2.0,0,1,29,178,10
gma-miR396g,177,186,3.9731182795698925,4.0,0.5,1,3,27,168,18
ath-miR773b-3p,177,185,3.997297297297297,4.0,1.5,0,5,29,158,27
ppt-miR1046-5p,177,185,4.043243243243243,4.0,2.0,0,3,17,141,44
hvu-miR5048a,176,234,3.9358974358974357,4.0,0.0,1,6,42,212,22
hvu-miR5048b,176,234,3.9358974358974357,4.0,0.0,1,6,42,212,22
mtr-miR5264,176,179,4.175977653631285,4.5,2.0,0,2,15,134,45
osa-miR5490,176,179,4.162011173184357,4.0,2.5,0,0,8,116,63
ath-miR8181,175,208,4.313701923076923,4.5,2.0,0,1,8,186,22
osa-miR426,175,182,4.019230769230769,4.0,2.0,0,1,21,162,20
mtr-miR2641,175,181,4.386740331491713,4.5,2.5,0,0,5,175,6
ath-miR4221,174,193,3.8367875647668392,4.0,1.5,0,7,47,145,48
aqc-miR477c,174,189,4.124338624338624,4.0,2.0,0,1,13,161,28
aqc-miR477g,174,189,4.124338624338624,4.0,2.0,0,1,13,161,28
hbr-miR6169,174,187,3.93048128342246,4.0,1.5,0,6,39,157,30
hme-miR-316,174,186,3.9946236559139785,4.0,2.0,0,5,20,128,58
aqc-miR477f,174,184,3.922554347826087,4.0,1.0,1,10,32,142,42
bra-miR5711,173,200,4.2825,4.5,2.0,0,1,10,180,20
ppt-miR1039-5p,173,196,3.99234693877551,4.0,2.0,0,2,29,175,21
aly-miR158b-5p,173,181,4.193370165745856,4.5,2.0,0,1,16,142,39
aly-miR169m-3p,173,180,4.188888888888889,4.0,2.5,0,0,7,163,17
ath-miR426,173,179,4.14245810055866,4.0,2.5,0,0,16,163,16
bdi-miR7773-3p,173,179,4.349162011173185,4.5,2.0,0,2,7,143,36
ath-miR397b,172,179,4.005586592178771,4.0,2.0,0,5,20,134,45
nta-miR6144,172,178,3.9775280898876404,4.0,2.0,0,2,29,157,21
smo-miR396,172,177,4.149717514124294,4.0,2.0,0,1,17,167,10
sbi-miR6223-5p,172,174,4.14367816091954,4.0,2.5,0,0,14,156,18
osa-miR1857-5p,171,188,3.872340425531915,4.0,1.0,1,5,35,162,26
csi-miR3950,171,186,4.147849462365591,4.5,2.0,0,2,28,155,31
cpa-miR477,171,177,4.173728813559322,4.0,2.0,0,1,10,140,37
gma-miR9749,170,196,4.079081632653061,4.0,1.0,1,3,25,184,12
stu-miR8048-5p,170,185,3.9567567567567568,4.0,2.0,0,1,29,151,34
bra-miR5717,170,178,4.03932584269663,4.0,2.0,0,2,32,143,35
mtr-miR5558-5p,170,178,4.241573033707865,4.5,2.5,0,0,17,147,31
rgl-miR7972,170,178,4.134831460674158,4.5,1.5,0,3,20,168,10
bcy-miR529,170,175,4.2371428571428575,4.5,2.5,0,0,13,145,30
bgy-miR529,170,175,4.2371428571428575,4.5,2.5,0,0,13,145,30
cme-miR395b,170,175,4.2371428571428575,4.5,0.5,1,3,13,167,8
cme-miR395c,170,175,4.2371428571428575,4.5,0.5,1,3,13,167,8
mtr-miR395g,170,175,4.2371428571428575,4.5,0.5,1,3,13,167,8
ppt-miR1044-3p,170,175,4.252857142857143,4.5,2.5,0,0,13,146,29
sly-miR5303,170,175,4.098571428571429,4.0,1.0,1,1,14,146,29
aly-miR781-5p,170,173,4.176300578034682,4.0,2.0,0,1,8,153,20
ath-miR781a,170,173,4.176300578034682,4.0,2.0,0,1,8,153,20
ath-miR781b,170,173,4.176300578034682,4.0,2.0,0,1,8,153,20
ptc-miR394a-3p,170,172,4.328488372093023,4.5,2.5,0,0,10,138,34
ptc-miR394b-3p,170,172,4.328488372093023,4.5,2.5,0,0,10,138,34
ath-miR5645a,170,171,4.353801169590644,4.5,3.0,0,0,8,148,23
ath-miR5645b,170,171,4.353801169590644,4.5,3.0,0,0,8,148,23
ath-miR5645d,170,171,4.353801169590644,4.5,3.0,0,0,8,148,23
ath-miR5645e,170,171,4.353801169590644,4.5,3.0,0,0,8,148,23
ath-miR5645f,170,171,4.353801169590644,4.5,3.0,0,0,8,148,23
gma-miR5041-5p,169,203,3.8288177339901477,4.0,2.0,0,5,45,177,26
mtr-miR5260,169,181,4.254143646408839,4.5,2.5,0,0,10,166,15
gra-miR7502b,169,178,4.26685393258427,4.5,1.5,0,2,10,147,31
gra-miR7502c,169,178,4.26685393258427,4.5,1.5,0,2,10,147,31
aly-miR319a-5p,168,187,4.25668449197861,4.5,1.5,0,3,15,167,20
bra-miR319-5p,168,187,4.25668449197861,4.5,1.5,0,3,15,167,20
ath-miR5998a,168,180,4.2,4.5,2.0,0,2,18,151,29
ath-miR5998b,168,180,4.2,4.5,2.0,0,2,18,151,29
stu-miR172e-5p,168,175,3.9785714285714286,4.0,2.0,0,2,29,151,24
mtr-miR2595,168,173,3.9161849710982657,4.0,1.5,0,5,35,162,11
