Gene_ID,Scaffold,Start,End,Strand,Length
CcGene_15244,CcContig_094487,13838,14272,-,435
CcGene_15244,CcContig_094487,13838,14272,-,435
CcGene_15243,CcContig_094487,10961,12633,+,1673
CcGene_15243,CcContig_094487,10961,12633,+,1673
CcGene_13616,CcContig_081588,536,2242,+,1707
CcGene_13616,CcContig_081588,536,2242,+,1707
CcGene_24274,CcContig_119797,32980,35855,-,2876
CcGene_24274,CcContig_119797,32980,35855,-,2876
CcGene_24273,CcContig_119797,26885,27716,+,832
CcGene_24273,CcContig_119797,26885,27716,+,832
CcGene_31474,CcContig_141914,54200,56379,-,2180
CcGene_31474,CcContig_141914,54200,56379,-,2180
CcGene_31473,CcContig_141914,43,1034,-,992
CcGene_31473,CcContig_141914,43,1034,-,992
CcGene_30653,CcContig_139138,53700,73470,+,19771
CcGene_30653,CcContig_139138,53700,73470,+,19771
CcGene_02365,CcContig_005473,2911,3327,+,417
CcGene_02365,CcContig_005473,2911,3327,+,417
CcGene_14115,CcContig_086889,39,288,+,250
CcGene_14115,CcContig_086889,39,288,+,250
CcGene_00279,CcContig_001174,41982,44005,-,2024
CcGene_00279,CcContig_001174,41982,44005,-,2024
CcGene_00280,CcContig_001174,57653,58867,-,1215
CcGene_00280,CcContig_001174,57653,58867,-,1215
CcGene_06176,CcContig_044549,442,1210,-,769
CcGene_06176,CcContig_044549,442,1210,-,769
CcGene_12640,CcContig_065787,1648,3170,+,1523
CcGene_12640,CcContig_065787,1648,3170,+,1523
CcGene_16061,CcContig_096706,1466,5920,+,4455
CcGene_16061,CcContig_096706,1466,5920,+,4455
CcGene_09403,CcContig_050107,2341,8591,+,6251
CcGene_09403,CcContig_050107,2341,8591,+,6251
CcGene_09404,CcContig_050107,10574,13131,-,2558
CcGene_09404,CcContig_050107,10574,13131,-,2558
CcGene_04756,CcContig_027408,2917,4985,-,2069
CcGene_04756,CcContig_027408,2917,4985,-,2069
CcGene_04153,CcContig_017274,427,1031,-,605
CcGene_04153,CcContig_017274,427,1031,-,605
CcGene_13875,CcContig_084902,546,1415,+,870
CcGene_13875,CcContig_084902,546,1415,+,870
CcGene_03109,CcContig_007801,3608,3967,+,360
CcGene_03109,CcContig_007801,3608,3967,+,360
CcGene_07765,CcContig_048182,31621,54744,+,23124
CcGene_07765,CcContig_048182,31621,54744,+,23124
CcGene_27266,CcContig_128730,5075,5926,+,852
CcGene_27266,CcContig_128730,5075,5926,+,852
CcGene_27831,CcContig_130139,12186,13119,-,934
CcGene_27831,CcContig_130139,12186,13119,-,934
CcGene_31260,CcContig_141153,15475,18321,-,2847
CcGene_31260,CcContig_141153,15475,18321,-,2847
CcGene_31261,CcContig_141153,23887,25724,+,1838
CcGene_31261,CcContig_141153,23887,25724,+,1838
CcGene_31259,CcContig_141153,13976,14769,-,794
CcGene_31259,CcContig_141153,13976,14769,-,794
CcGene_30017,CcContig_137727,5770,11125,-,5356
CcGene_30017,CcContig_137727,5770,11125,-,5356
CcGene_16157,CcContig_096919,7051,8144,-,1094
CcGene_16157,CcContig_096919,7051,8144,-,1094
CcGene_16158,CcContig_096919,14499,15761,-,1263
CcGene_16158,CcContig_096919,14499,15761,-,1263
CcGene_29027,CcContig_134817,24644,26171,+,1528
CcGene_29027,CcContig_134817,24644,26171,+,1528
CcGene_29026,CcContig_134817,18545,19177,-,633
CcGene_29026,CcContig_134817,18545,19177,-,633
CcGene_29028,CcContig_134817,26573,26785,-,213
CcGene_29028,CcContig_134817,26573,26785,-,213
CcGene_25735,CcContig_124500,1484,2083,+,600
CcGene_25735,CcContig_124500,1484,2083,+,600
CcGene_25736,CcContig_124500,14549,15614,-,1066
CcGene_25736,CcContig_124500,14549,15614,-,1066
CcGene_28918,CcContig_134553,43503,44144,+,642
CcGene_28918,CcContig_134553,43503,44144,+,642
CcGene_28919,CcContig_134553,63864,73104,+,9241
CcGene_28919,CcContig_134553,63864,73104,+,9241
CcGene_28917,CcContig_134553,12590,17324,-,4735
CcGene_28917,CcContig_134553,12590,17324,-,4735
CcGene_28916,CcContig_134553,554,1075,+,522
CcGene_28916,CcContig_134553,554,1075,+,522
CcGene_09605,CcContig_050549,1665,3364,+,1700
CcGene_09605,CcContig_050549,1665,3364,+,1700
CcGene_22080,CcContig_112910,1,2582,-,2582
CcGene_22080,CcContig_112910,1,2582,-,2582
CcGene_05623,CcContig_036212,6029,7913,-,1885
CcGene_05623,CcContig_036212,6029,7913,-,1885
CcGene_05624,CcContig_036212,24402,29815,-,5414
CcGene_05624,CcContig_036212,24402,29815,-,5414
CcGene_03949,CcContig_015277,1299,7166,+,5868
CcGene_03949,CcContig_015277,1299,7166,+,5868
CcGene_17023,CcContig_099114,10429,13154,+,2726
CcGene_17023,CcContig_099114,10429,13154,+,2726
CcGene_01303,CcContig_003323,43184,49022,+,5839
CcGene_01303,CcContig_003323,43184,49022,+,5839
CcGene_01302,CcContig_003323,25045,28201,+,3157
CcGene_01302,CcContig_003323,25045,28201,+,3157
CcGene_18897,CcContig_104590,16661,18964,-,2304
CcGene_18897,CcContig_104590,16661,18964,-,2304
CcGene_18896,CcContig_104590,7394,11799,+,4406
CcGene_18896,CcContig_104590,7394,11799,+,4406
CcGene_27349,CcContig_128920,58226,59433,-,1208
CcGene_27349,CcContig_128920,58226,59433,-,1208
CcGene_24014,CcContig_119098,12515,13775,-,1261
CcGene_24014,CcContig_119098,12515,13775,-,1261
CcGene_07969,CcContig_048433,12189,14851,-,2663
CcGene_07969,CcContig_048433,12189,14851,-,2663
CcGene_29444,CcContig_136510,810,1088,+,279
CcGene_29444,CcContig_136510,810,1088,+,279
CcGene_09149,CcContig_049765,2991,5521,-,2531
CcGene_09149,CcContig_049765,2991,5521,-,2531
CcGene_05073,CcContig_033316,9809,15871,+,6063
CcGene_05073,CcContig_033316,9809,15871,+,6063
CcGene_05557,CcContig_035735,24958,31414,-,6457
CcGene_05557,CcContig_035735,24958,31414,-,6457
CcGene_26804,CcContig_127762,28479,30125,+,1647
CcGene_26804,CcContig_127762,28479,30125,+,1647
CcGene_26802,CcContig_127762,17921,21152,-,3232
CcGene_26802,CcContig_127762,17921,21152,-,3232
CcGene_26803,CcContig_127762,25110,26119,-,1010
CcGene_26803,CcContig_127762,25110,26119,-,1010
CcGene_26805,CcContig_127762,30859,31260,+,402
CcGene_26805,CcContig_127762,30859,31260,+,402
