Gene_ID,Category,Matched_Keyword
CcGene_00385,Abiotic_Stress_Aridity,aquaporin
CcGene_00497,Abiotic_Stress_Aridity,heat shock
CcGene_00606,Abiotic_Stress_Aridity,heat shock
CcGene_00710,Abiotic_Stress_Aridity,heat shock
CcGene_00791,Abiotic_Stress_Aridity,late embryogenesis abundant
CcGene_00917,Abiotic_Stress_Aridity,wrky
CcGene_01231,Abiotic_Stress_Aridity,heat shock
CcGene_01300,Abiotic_Stress_Aridity,wrky
CcGene_01466,Abiotic_Stress_Aridity,aquaporin
CcGene_01539,Abiotic_Stress_Aridity,wrky
CcGene_01643,Abiotic_Stress_Aridity,heat shock
CcGene_01644,Abiotic_Stress_Aridity,heat shock
CcGene_01974,Abiotic_Stress_Aridity,sodium/hydrogen exchanger
CcGene_02007,Abiotic_Stress_Aridity,wrky
CcGene_02008,Abiotic_Stress_Aridity,late embryogenesis abundant
CcGene_02283,Abiotic_Stress_Aridity,aquaporin
CcGene_02343,Abiotic_Stress_Aridity,heat shock
CcGene_02572,Abiotic_Stress_Aridity,aquaporin
CcGene_02990,Abiotic_Stress_Aridity,nac domain
CcGene_02991,Abiotic_Stress_Aridity,nac domain
CcGene_03065,Abiotic_Stress_Aridity,heat shock
CcGene_03556,Abiotic_Stress_Aridity,wrky
CcGene_03972,Biotic_Stress_R_Genes,thaumatin
CcGene_04211,Abiotic_Stress_Aridity,heat shock
CcGene_04278,Abiotic_Stress_Aridity,heat shock
CcGene_04414,Abiotic_Stress_Aridity,heat shock
CcGene_04504,Abiotic_Stress_Aridity,nac domain
CcGene_04505,Abiotic_Stress_Aridity,nac domain
CcGene_04774,Biotic_Stress_R_Genes,thaumatin
CcGene_04813,Abiotic_Stress_Aridity,heat shock
CcGene_04995,Fusarium_Wilt_Pathways,acyl-coa dehydrogenase
CcGene_05085,Abiotic_Stress_Aridity,nac domain
CcGene_05112,Abiotic_Stress_Aridity,wrky
CcGene_05356,Abiotic_Stress_Aridity,wrky
CcGene_05474,Abiotic_Stress_Aridity,heat shock
CcGene_05614,Biotic_Stress_R_Genes,glucanase
CcGene_06399,Abiotic_Stress_Aridity,aquaporin
CcGene_06543,Abiotic_Stress_Aridity,heat shock
CcGene_07171,Abiotic_Stress_Aridity,aquaporin
CcGene_07177,Abiotic_Stress_Aridity,heat shock
CcGene_07350,Abiotic_Stress_Aridity,aquaporin
CcGene_07371,Abiotic_Stress_Aridity,heat shock
CcGene_07389,Abiotic_Stress_Aridity,wrky
