id	gene_id	contig	start	end	strand	metabolite_category	description	gos	kegg_pathway
1	CcGene_10829	CcContig_133670	29596	32590	-	Secondary Metabolite	2871.1protein NCA1 [Daucus carota subsp. sativus]	GO:0005515, GO:0016567, GO:0061630	E3 ubiquitin ligases ubiquitinate target proteins
2	CcGene_02015	CcContig_095206	24869	30618	-	Secondary Metabolite	3440.15'-3' exoribonuclease 3 [Daucus carota subsp. sativus]	GO:0003676, GO:0004534, GO:0005634, GO:0006139	Major pathway of rRNA processing in the nucleolus and cytosol
3	CcGene_28973	CcContig_085849	7648	14119	+	Secondary Metabolite	Ribonuclease H protein	GO:0004839, GO:0005634, GO:0005737, GO:0006511, GO:0006974, GO:0016567	Synthesis of active ubiquitin: roles of E1 and E2 enzymes
4	CcGene_07185	CcContig_003865	9078	12244	+	Secondary Metabolite	KAK1393422.1putative UDP-arabinose 4-epimerase 1 [Heracleum sosnowskyi]	GO:0003978, GO:0005829, GO:0033499	Galactose catabolism; Galactose degradation II
5	CcGene_18991	CcContig_135480	14246	16789	+	Secondary Metabolite	KAL1813926.1hypothetical protein ACET3Z_023991 [Daucus carota]	GO:0005515	Mitochondrial RNA degradation; Intracellular auxin transport
6	CcGene_12270	CcContig_059437	8054	12971	+	Secondary Metabolite	G patch domain-containing protein	GO:0005634, GO:0036297, GO:0045145, GO:0000375, GO:0000377, GO:0000398, GO:0003674, GO:0003676, GO:0003723, GO:0005488, GO:0005575, GO:0005622, GO:0005623, GO:0005681, GO:0006139, GO:0006396, GO:0006397, GO:0006725, GO:0006807, GO:0008150, GO:0008152, GO:0008380, GO:0009888, GO:0009892, GO:0009987, GO:0010033, GO:0010087, GO:0010467, GO:0010468, GO:0010605, GO:0010608, GO:0010629, GO:0014070, GO:0016070, GO:0016071, GO:0016246, GO:0016441, GO:0016458, GO:0019222, GO:0030422, GO:0031047, GO:0031050, GO:0032502, GO:0032991, GO:0034641, GO:0035194, GO:0035195, GO:0035196, GO:0040029, GO:0042221, GO:0043170, GO:0043226, GO:0043227, GO:0043229, GO:0043231, GO:0043331, GO:0044237, GO:0044238, GO:0044422, GO:0044424, GO:0044428, GO:0044446, GO:0044464, GO:0046483, GO:0048519, GO:0048856, GO:0050789, GO:0050896, GO:0051716, GO:0060255, GO:0065007, GO:0070878, GO:0070883, GO:0070887, GO:0070918, GO:0071013, GO:0071310, GO:0071359, GO:0071407, GO:0071704, GO:0090304, GO:0097159, GO:1901360, GO:1901363, GO:1901698, GO:1901699, GO:1902494, GO:1990904	Fanconi Anemia Pathway
7	CcGene_20356	CcContig_138951	2190	7042	+	Secondary Metabolite	DREPP plasma membrane polypeptide	GO:0008270, GO:0016567, GO:0061630, GO:0000226, GO:0001101, GO:0001558, GO:0002237, GO:0003674, GO:0005488, GO:0005507, GO:0005509, GO:0005515, GO:0005516, GO:0005543, GO:0005546, GO:0005547, GO:0005575, GO:0005622, GO:0005623, GO:0005737, GO:0005773, GO:0005856, GO:0005874, GO:0005881, GO:0005886, GO:0005911, GO:0006464, GO:0006497, GO:0006498, GO:0006499, GO:0006807, GO:0006810, GO:0006950, GO:0006952, GO:0006970, GO:0006996, GO:0007010, GO:0007017, GO:0007154, GO:0008017, GO:0008092, GO:0008150, GO:0008152, GO:0008289, GO:0009058, GO:0009059, GO:0009266, GO:0009267, GO:0009409, GO:0009414, GO:0009415, GO:0009506, GO:0009507, GO:0009536, GO:0009605, GO:0009607, GO:0009617, GO:0009628, GO:0009651, GO:0009719, GO:0009725, GO:0009735, GO:0009743, GO:0009987, GO:0009991, GO:0010033, GO:0010035, GO:0010038, GO:0010039, GO:0010118, GO:0010350, GO:0010555, GO:0010638, GO:0010639, GO:0015630, GO:0015631, GO:0016020, GO:0016032, GO:0016043, GO:0018377, GO:0019058, GO:0019538, GO:0022603, GO:0022604, GO:0030054, GO:0030308, GO:0030865, GO:0031110, GO:0031111, GO:0031112, GO:0031113, GO:0031114, GO:0031115, GO:0031117, GO:0031122, GO:0031224, GO:0031225, GO:0031226, GO:0031333, GO:0031365, GO:0031667, GO:0031668, GO:0031669, GO:0032026, GO:0032271, GO:0032272, GO:0032886, GO:0033043, GO:0033554, GO:0034645, GO:0035091, GO:0035864, GO:0035865, GO:0036211, GO:0040008, GO:0042157, GO:0042158, GO:0042221, GO:0042594, GO:0042742, GO:0043167, GO:0043168, GO:0043169, GO:0043170, GO:0043207, GO:0043226, GO:0043227, GO:0043228, GO:0043229, GO:0043231, GO:0043232, GO:0043243, GO:0043244, GO:0043254, GO:0043325, GO:0043412, GO:0043543, GO:0043622, GO:0044087, GO:0044237, GO:0044238, GO:0044249, GO:0044260, GO:0044267, GO:0044403, GO:0044419, GO:0044422, GO:0044424, GO:0044425, GO:0044430, GO:0044444, GO:0044446, GO:0044459, GO:0044464, GO:0044766, GO:0045926, GO:0046658, GO:0046688, GO:0046794, GO:0046872, GO:0046914, GO:0048518, GO:0048519, GO:0048522, GO:0048523, GO:0048638, GO:0048640, GO:0050789, GO:0050793, GO:0050794, GO:0050896, GO:0051093, GO:0051128, GO:0051129, GO:0051130, GO:0051179, GO:0051234, GO:0051493, GO:0051494, GO:0051495, GO:0051510, GO:0051511, GO:0051592, GO:0051704, GO:0051707, GO:0051716, GO:0055044, GO:0065007, GO:0070507, GO:0070887, GO:0071214, GO:0071216, GO:0071219, GO:0071241, GO:0071248, GO:0071280, GO:0071281, GO:0071286, GO:0071310, GO:0071322, GO:0071325, GO:0071470, GO:0071472, GO:0071496, GO:0071704, GO:0071840, GO:0071944, GO:0072708, GO:0072709, GO:0075733, GO:0080025, GO:0090332, GO:0097435, GO:0098542, GO:0099080, GO:0099081, GO:0099512, GO:0099513, GO:0104004, GO:1901564, GO:1901566, GO:1901576, GO:1901700, GO:1901701, GO:1901879, GO:1901881, GO:1901981, GO:1902579, GO:1902903, GO:1902904, GO:1902905, GO:1902936	E3 ubiquitin ligases ubiquitinate target proteins
8	CcGene_14484	CcContig_140624	14503	18469	+	Secondary Metabolite	2353.1FAD synthetase 2, chloroplastic [Daucus carota subsp. sativus]	GO:0003919, GO:0006747, GO:0009231, GO:0009507	Flavin biosynthesis
9	CcGene_28589	CcContig_139284	41177	44432	+	Secondary Metabolite	4403.1nicotianamine aminotransferase 1 isoform X2 [Daucus carota subsp. sativus]	GO:0004838, GO:0006572, GO:0009058, GO:0030170	Tyrosine catabolism
10	CcGene_20018	CcContig_108072	21956	24100	-	Secondary Metabolite	KAL1816137.1hypothetical protein ACET3Z_018711 [Daucus carota]	GO:0004672, GO:0005515, GO:0005524, GO:0006468, GO:0016020	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling; Interleukin-1 signaling; Anther and pollen development
