Gene_ID	Metabolite_Category	Description	SwissProt_Hit	NR_Hit	GOs	KEGG_Pathway
CcGene_00054	Cytochrome P450	Belongs to the cytochrome P450 family	sp|A0A0G2RKY1|KO_SALMI	XP_017253618.1	GO:0001101,GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0006082,GO:0006629,GO:0006720,GO:0006721,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009403,GO:0009404,GO:0009507,GO:0009526,GO:0009527,GO:0009536,GO:0009685,GO:0009686,GO:0009707,GO:0009719,GO:0009725,GO:0009739,GO:0009740,GO:0009755,GO:0009941,GO:0009987,GO:0010033,GO:0010241,GO:0010476,GO:0010817,GO:0012505,GO:0016020,GO:0016053,GO:0016101,GO:0016102,GO:0016114,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0019752,GO:0019867,GO:0023052,GO:0031090,GO:0031967,GO:0031968,GO:0031969,GO:0031975,GO:0032870,GO:0033331,GO:0033993,GO:0042170,GO:0042214,GO:0042221,GO:0042445,GO:0042446,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0044550,GO:0046394,GO:0050789,GO:0050794,GO:0050896,GO:0051501,GO:0051502,GO:0051716,GO:0052314,GO:0052315,GO:0052615,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0071229,GO:0071310,GO:0071370,GO:0071396,GO:0071495,GO:0071704,GO:0098588,GO:0098805,GO:1901576,GO:1901700,GO:1901701	ko00904,ko01100,ko01110,map00904,map01100,map01110
CcGene_00069	Cytochrome P450	Cytochrome p450	sp|C0SJS4|C71AJ_APIGR	AKJ23351.1	-	ko00140,ko00380,ko00590,ko00591,ko00830,ko00980,ko01100,ko04212,ko04726,ko04750,ko04913,ko05204,map00140,map00380,map00590,map00591,map00830,map00980,map01100,map04212,map04726,map04750,map04913,map05204
CcGene_00149	Glycosyltransferase	UDP-Glycosyltransferase	sp|F8WKW1|UGT2_GARJA	XP_017221193.1	-	-
CcGene_00160	Glycosyltransferase	UDP-Glycosyltransferase	sp|F8WLS6|UGT6_CATRO	XP_017232287.1	-	-
CcGene_00375	Cytochrome P450	Cytochrome p450	sp|Q2QYH7|C14C2_ORYSJ	XP_017235816.1	-	-
CcGene_00614	Glycosyltransferase	Belongs to the glycosyltransferase 8 family	sp|Q9LSG3|GAUT8_ARATH	KAL1834913.1	GO:0000271,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005768,GO:0005794,GO:0005802,GO:0005975,GO:0005976,GO:0008150,GO:0008152,GO:0008194,GO:0009058,GO:0009059,GO:0009664,GO:0009832,GO:0009987,GO:0010289,GO:0010383,GO:0010393,GO:0010394,GO:0012505,GO:0016043,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0017144,GO:0031410,GO:0031982,GO:0031984,GO:0033692,GO:0034637,GO:0034645,GO:0042546,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0045229,GO:0045488,GO:0045489,GO:0047262,GO:0052325,GO:0052546,GO:0070589,GO:0070592,GO:0071554,GO:0071555,GO:0071669,GO:0071704,GO:0071840,GO:0097708,GO:0098791,GO:1901576	ko00520,map00520
CcGene_00639	Glycosyltransferase	Glycosyltransferase family 28 N-terminal domain	sp|Q9XIG1|U80B1_ARATH	XP_017247731.1	GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0006629,GO:0007275,GO:0008150,GO:0008152,GO:0008194,GO:0008202,GO:0009058,GO:0009791,GO:0009812,GO:0009813,GO:0009845,GO:0010154,GO:0010214,GO:0015020,GO:0016020,GO:0016125,GO:0016740,GO:0016757,GO:0016758,GO:0016906,GO:0022414,GO:0031090,GO:0032501,GO:0032502,GO:0035251,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044238,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0046527,GO:0048316,GO:0048608,GO:0048731,GO:0048856,GO:0051505,GO:0051506,GO:0051507,GO:0051508,GO:0051509,GO:0061458,GO:0071704,GO:0080043,GO:0080044,GO:0090351,GO:0098588,GO:0098805,GO:1901360,GO:1901576,GO:1901615	-
CcGene_00742	Glycosyltransferase	Belongs to the glycosyltransferase 8 family	sp|Q93ZX7|GAUT4_ARATH	XP_063940387.1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0008194,GO:0012505,GO:0016740,GO:0016757,GO:0016758,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0047262	ko00520,map00520
CcGene_00760	Cytochrome P450	Cytochrome p450	sp|Q9SZ46|C82C4_ARATH	XP_017251572.1	GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0010035,GO:0010038,GO:0010039,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0042221,GO:0044550,GO:0050896,GO:0051716,GO:0055114,GO:0070887,GO:0071241,GO:0071248,GO:0071281	ko00140,ko00380,ko00830,ko00980,ko00981,ko01100,ko04913,ko04917,ko04927,ko04934,ko05204,map00140,map00380,map00830,map00980,map00981,map01100,map04913,map04917,map04927,map04934,map05204
CcGene_00808	Acyltransferase	Belongs to the membrane-bound acyltransferase family	sp|F4IDU4|MBOA1_ARATH	KAL1830433.1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005886,GO:0006629,GO:0006643,GO:0006644,GO:0006664,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0009058,GO:0009247,GO:0009987,GO:0012505,GO:0016020,GO:0016740,GO:0016746,GO:0016747,GO:0019374,GO:0019375,GO:0019637,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0045017,GO:0046467,GO:0046486,GO:0071617,GO:0071704,GO:0071944,GO:0090407,GO:1901135,GO:1901137,GO:1901576,GO:1903509	ko00561,ko00564,ko00565,ko01100,ko01110,map00561,map00564,map00565,map01100,map01110
