Target_Acc.,Targeting_miRNAs,Total_Interactions,Mean_Expectation,Median_Expectation,Minimum_Expectation,Interactions_LE_1,Interactions_LE_2,Interactions_LE_3,Cleavage_Interactions,Translation_Repression_Interactions,Target_Desc.
CcGene_11626,546,568,4.419894366197183,4.5,2.5,0,0,31,528,40,
CcGene_15256,546,548,4.079379562043796,4.0,3.0,0,0,25,451,97,
CcGene_26041,482,483,3.8840579710144927,4.0,1.5,0,1,207,472,11,
CcGene_22549,476,476,2.842436974789916,2.0,0.5,19,283,307,322,154,
CcGene_08093,458,475,4.472105263157895,4.5,2.0,0,1,9,217,258,
CcGene_06654,450,464,4.441271551724138,4.5,2.5,0,0,18,305,159,
CcGene_12107,408,408,3.8308823529411766,4.0,1.5,0,2,75,393,15,
CcGene_13193,400,413,2.5084745762711864,1.0,0.0,216,230,239,311,102,
CcGene_12031,398,398,3.8341708542713566,4.0,2.0,0,1,71,381,17,
CcGene_21221,390,392,4.323979591836735,4.5,3.0,0,0,5,379,13,
CcGene_08070,389,390,3.621794871794872,3.5,1.5,0,3,131,320,70,
CcGene_16353,389,389,4.89974293059126,5.0,3.5,0,0,0,368,21,
CcGene_24504,387,388,4.524484536082475,4.5,2.0,0,1,9,63,325,
CcGene_06008,381,386,4.519430051813472,4.5,2.5,0,0,8,334,52,
CcGene_20121,380,380,4.561842105263158,4.5,3.0,0,0,1,267,113,
CcGene_06537,376,435,4.090229885057472,4.0,2.0,0,1,22,372,63,
CcGene_12103,375,375,2.888,3.5,0.0,126,138,145,365,10,
CcGene_27216,373,373,4.701072386058981,5.0,2.5,0,0,5,350,23,
CcGene_02616,371,371,4.413746630727763,4.5,3.5,0,0,0,333,38,
CcGene_14760,371,371,3.8234501347708894,4.0,2.0,0,1,52,361,10,
CcGene_03901,369,371,4.045822102425876,4.0,2.5,0,0,21,367,4,
CcGene_03067,366,367,3.3841961852861036,3.0,2.0,0,7,245,352,15,
CcGene_15333,364,371,4.5161725067385445,4.5,2.5,0,0,4,229,142,
CcGene_24026,358,358,4.666201117318436,4.5,2.5,0,0,4,353,5,
CcGene_29660,353,354,1.8375706214689265,1.0,0.0,190,224,305,335,19,
CcGene_11318,352,374,3.84024064171123,4.0,1.5,0,47,80,298,76,
CcGene_12813,351,351,1.621082621082621,1.0,0.0,193,285,308,332,19,
CcGene_24538,348,359,4.206128133704736,4.0,2.5,0,0,13,304,55,
CcGene_13419,348,348,1.5244252873563218,1.0,0.0,203,294,307,325,23,
CcGene_03784,347,347,1.7838616714697406,1.0,0.0,191,227,303,326,21,
CcGene_05982,347,347,4.31700288184438,4.0,3.5,0,0,0,347,0,
CcGene_06803,347,347,1.563400576368876,1.0,0.0,194,290,307,322,25,
CcGene_00365,344,344,1.744186046511628,1.0,0.0,190,227,307,322,22,
CcGene_11177,343,343,1.4548104956268222,1.0,0.0,203,294,310,320,23,
CcGene_26251,342,348,4.366379310344827,4.5,3.0,0,0,1,339,9,
CcGene_22961,341,355,3.880281690140845,4.5,2.0,0,7,141,331,24,
CcGene_11628,332,361,4.042936288088643,4.0,2.0,0,1,34,333,28,
CcGene_25905,332,334,4.092814371257485,4.0,2.0,0,2,22,209,125,
CcGene_22818,332,332,4.6897590361445785,5.0,2.5,0,0,2,322,10,
CcGene_22787,331,341,4.373900293255132,4.5,2.5,0,0,4,331,10,
CcGene_13821,328,328,3.6265243902439024,4.0,2.5,0,0,132,317,11,
CcGene_04870,326,326,4.4447852760736195,4.0,3.5,0,0,0,311,15,
CcGene_14021,324,325,3.9476923076923076,4.0,3.0,0,0,1,315,10,
CcGene_19063,320,354,4.4258474576271185,4.5,2.5,0,0,5,83,271,
