# BUSCO version is: 6.0.0 
# The lineage dataset is: embryophyta_odb10 (Creation date: 2024-01-08, number of genomes: 50, number of BUSCOs: 1614)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
2at3193	Complete	CcGene_24058	4351.3	3309	https://v10-1.orthodb.org/?query=2at3193	Midasin AAA lid domain 5
5at3193	Complete	CcGene_13617	5828.6	3750	https://v10-1.orthodb.org/?query=5at3193	Zinc finger, RING/FYVE/PHD-type
23at3193	Complete	CcGene_07499	6265.8	3734	https://v10-1.orthodb.org/?query=23at3193	Zinc finger, ZZ-type
79at3193	Complete	CcGene_32528	3983.4	2703	https://v10-1.orthodb.org/?query=79at3193	Phosphatidylinositol 3-/4-kinase, catalytic domain
241at3193	Complete	CcGene_27936	3619.3	2064	https://v10-1.orthodb.org/?query=241at3193	Translational activator Gcn1
255at3193	Duplicated	CcGene_18449	3926.9	2071	https://v10-1.orthodb.org/?query=255at3193	FKBP12-rapamycin binding domain
255at3193	Duplicated	CcGene_33554	4019.9	2069	https://v10-1.orthodb.org/?query=255at3193	FKBP12-rapamycin binding domain
364at3193	Complete	CcGene_01389	1653.8	1206	https://v10-1.orthodb.org/?query=364at3193	WD40-repeat-containing domain
438at3193	Complete	CcGene_02486	4057.3	2093	https://v10-1.orthodb.org/?query=438at3193	DnaJ domain
453at3193	Complete	CcGene_24189	2141.3	1458	https://v10-1.orthodb.org/?query=453at3193	Armadillo-type fold
469at3193	Complete	CcGene_28362	3136.0	1890	https://v10-1.orthodb.org/?query=469at3193	Zinc finger FYVE domain protein
727at3193	Complete	CcGene_07663	2863.8	1444	https://v10-1.orthodb.org/?query=727at3193	Dicer dimerisation domain
827at3193	Complete	CcGene_08726	2221.2	1724	https://v10-1.orthodb.org/?query=827at3193	Protein virilizer
840at3193	Complete	CcGene_30385	2959.5	1629	https://v10-1.orthodb.org/?query=840at3193	DNA polymerase A
938at3193	Complete	CcGene_09422	1952.5	1313	https://v10-1.orthodb.org/?query=938at3193	Tetratricopeptide repeat-containing domain
1073at3193	Missing
1171at3193	Complete	CcGene_26558	2563.2	1548	https://v10-1.orthodb.org/?query=1171at3193	Nucleoporin Nup186/Nup192/Nup205
1259at3193	Complete	CcGene_24206	1936.9	1480	https://v10-1.orthodb.org/?query=1259at3193	Bacterial Ig-like, group 2
1332at3193	Complete	CcGene_32618	2145.0	1237	https://v10-1.orthodb.org/?query=1332at3193	UDP-glucose:Glycoprotein Glucosyltransferase
1388at3193	Fragmented	CcGene_25499	1317.0	1043	https://v10-1.orthodb.org/?query=1388at3193	Zinc finger, RING-type
1440at3193	Complete	CcGene_04764	2746.9	1335	https://v10-1.orthodb.org/?query=1440at3193	DNA2/NAM7 helicase, AAA domain
